config,family,repeat,fold,repeat_col,seed
naive_mean,naive,0,0,repeat_0,2684470948
naive_mean,naive,0,1,repeat_0,4091952314
naive_mean,naive,0,2,repeat_0,233227757
naive_mean,naive,0,3,repeat_0,3276785861
naive_mean,naive,0,4,repeat_0,3644269654
naive_mean,naive,1,0,repeat_1,1206282609
naive_mean,naive,1,1,repeat_1,3543069911
naive_mean,naive,1,2,repeat_1,3479688010
naive_mean,naive,1,3,repeat_1,877132087
naive_mean,naive,1,4,repeat_1,1244265337
naive_mean,naive,2,0,repeat_2,2740186692
naive_mean,naive,2,1,repeat_2,3884972972
naive_mean,naive,2,2,repeat_2,829139639
naive_mean,naive,2,3,repeat_2,2545567356
naive_mean,naive,2,4,repeat_2,2718398101
naive_mean,naive,3,0,repeat_3,176092387
naive_mean,naive,3,1,repeat_3,3528048386
naive_mean,naive,3,2,repeat_3,569531098
naive_mean,naive,3,3,repeat_3,1337295874
naive_mean,naive,3,4,repeat_3,612016888
naive_mean,naive,4,0,repeat_4,232150720
naive_mean,naive,4,1,repeat_4,2324106676
naive_mean,naive,4,2,repeat_4,1658700540
naive_mean,naive,4,3,repeat_4,609942288
naive_mean,naive,4,4,repeat_4,3405943863
ecfp4_narrow__rf,tabular,0,0,repeat_0,2684470948
ecfp4_narrow__rf,tabular,0,1,repeat_0,4091952314
ecfp4_narrow__rf,tabular,0,2,repeat_0,233227757
ecfp4_narrow__rf,tabular,0,3,repeat_0,3276785861
ecfp4_narrow__rf,tabular,0,4,repeat_0,3644269654
ecfp4_narrow__rf,tabular,1,0,repeat_1,1206282609
ecfp4_narrow__rf,tabular,1,1,repeat_1,3543069911
ecfp4_narrow__rf,tabular,1,2,repeat_1,3479688010
ecfp4_narrow__rf,tabular,1,3,repeat_1,877132087
ecfp4_narrow__rf,tabular,1,4,repeat_1,1244265337
ecfp4_narrow__rf,tabular,2,0,repeat_2,2740186692
ecfp4_narrow__rf,tabular,2,1,repeat_2,3884972972
ecfp4_narrow__rf,tabular,2,2,repeat_2,829139639
ecfp4_narrow__rf,tabular,2,3,repeat_2,2545567356
ecfp4_narrow__rf,tabular,2,4,repeat_2,2718398101
ecfp4_narrow__rf,tabular,3,0,repeat_3,176092387
ecfp4_narrow__rf,tabular,3,1,repeat_3,3528048386
ecfp4_narrow__rf,tabular,3,2,repeat_3,569531098
ecfp4_narrow__rf,tabular,3,3,repeat_3,1337295874
ecfp4_narrow__rf,tabular,3,4,repeat_3,612016888
ecfp4_narrow__rf,tabular,4,0,repeat_4,232150720
ecfp4_narrow__rf,tabular,4,1,repeat_4,2324106676
ecfp4_narrow__rf,tabular,4,2,repeat_4,1658700540
ecfp4_narrow__rf,tabular,4,3,repeat_4,609942288
ecfp4_narrow__rf,tabular,4,4,repeat_4,3405943863
ecfp4_narrow__xgboost,tabular,0,0,repeat_0,2684470948
ecfp4_narrow__xgboost,tabular,0,1,repeat_0,4091952314
ecfp4_narrow__xgboost,tabular,0,2,repeat_0,233227757
ecfp4_narrow__xgboost,tabular,0,3,repeat_0,3276785861
ecfp4_narrow__xgboost,tabular,0,4,repeat_0,3644269654
ecfp4_narrow__xgboost,tabular,1,0,repeat_1,1206282609
ecfp4_narrow__xgboost,tabular,1,1,repeat_1,3543069911
ecfp4_narrow__xgboost,tabular,1,2,repeat_1,3479688010
ecfp4_narrow__xgboost,tabular,1,3,repeat_1,877132087
ecfp4_narrow__xgboost,tabular,1,4,repeat_1,1244265337
ecfp4_narrow__xgboost,tabular,2,0,repeat_2,2740186692
ecfp4_narrow__xgboost,tabular,2,1,repeat_2,3884972972
ecfp4_narrow__xgboost,tabular,2,2,repeat_2,829139639
ecfp4_narrow__xgboost,tabular,2,3,repeat_2,2545567356
ecfp4_narrow__xgboost,tabular,2,4,repeat_2,2718398101
ecfp4_narrow__xgboost,tabular,3,0,repeat_3,176092387
ecfp4_narrow__xgboost,tabular,3,1,repeat_3,3528048386
ecfp4_narrow__xgboost,tabular,3,2,repeat_3,569531098
ecfp4_narrow__xgboost,tabular,3,3,repeat_3,1337295874
ecfp4_narrow__xgboost,tabular,3,4,repeat_3,612016888
ecfp4_narrow__xgboost,tabular,4,0,repeat_4,232150720
ecfp4_narrow__xgboost,tabular,4,1,repeat_4,2324106676
ecfp4_narrow__xgboost,tabular,4,2,repeat_4,1658700540
ecfp4_narrow__xgboost,tabular,4,3,repeat_4,609942288
ecfp4_narrow__xgboost,tabular,4,4,repeat_4,3405943863
ecfp4_narrow__lightgbm,tabular,0,0,repeat_0,2684470948
ecfp4_narrow__lightgbm,tabular,0,1,repeat_0,4091952314
ecfp4_narrow__lightgbm,tabular,0,2,repeat_0,233227757
ecfp4_narrow__lightgbm,tabular,0,3,repeat_0,3276785861
ecfp4_narrow__lightgbm,tabular,0,4,repeat_0,3644269654
ecfp4_narrow__lightgbm,tabular,1,0,repeat_1,1206282609
ecfp4_narrow__lightgbm,tabular,1,1,repeat_1,3543069911
ecfp4_narrow__lightgbm,tabular,1,2,repeat_1,3479688010
ecfp4_narrow__lightgbm,tabular,1,3,repeat_1,877132087
ecfp4_narrow__lightgbm,tabular,1,4,repeat_1,1244265337
ecfp4_narrow__lightgbm,tabular,2,0,repeat_2,2740186692
ecfp4_narrow__lightgbm,tabular,2,1,repeat_2,3884972972
ecfp4_narrow__lightgbm,tabular,2,2,repeat_2,829139639
ecfp4_narrow__lightgbm,tabular,2,3,repeat_2,2545567356
ecfp4_narrow__lightgbm,tabular,2,4,repeat_2,2718398101
ecfp4_narrow__lightgbm,tabular,3,0,repeat_3,176092387
ecfp4_narrow__lightgbm,tabular,3,1,repeat_3,3528048386
ecfp4_narrow__lightgbm,tabular,3,2,repeat_3,569531098
ecfp4_narrow__lightgbm,tabular,3,3,repeat_3,1337295874
ecfp4_narrow__lightgbm,tabular,3,4,repeat_3,612016888
ecfp4_narrow__lightgbm,tabular,4,0,repeat_4,232150720
ecfp4_narrow__lightgbm,tabular,4,1,repeat_4,2324106676
ecfp4_narrow__lightgbm,tabular,4,2,repeat_4,1658700540
ecfp4_narrow__lightgbm,tabular,4,3,repeat_4,609942288
ecfp4_narrow__lightgbm,tabular,4,4,repeat_4,3405943863
chemeleon__rf,tabular,0,0,repeat_0,2684470948
chemeleon__rf,tabular,0,1,repeat_0,4091952314
chemeleon__rf,tabular,0,2,repeat_0,233227757
chemeleon__rf,tabular,0,3,repeat_0,3276785861
chemeleon__rf,tabular,0,4,repeat_0,3644269654
chemeleon__rf,tabular,1,0,repeat_1,1206282609
chemeleon__rf,tabular,1,1,repeat_1,3543069911
chemeleon__rf,tabular,1,2,repeat_1,3479688010
chemeleon__rf,tabular,1,3,repeat_1,877132087
chemeleon__rf,tabular,1,4,repeat_1,1244265337
